"Id","ListingCreationYear","mean_loanOriginalAmount","median_loanOriginalAmount","sum_loanOriginalAmount","mean_amountDelinquent","median_amountDelinquent","sum_amountDelinquent","mean_investors","median_investors","sum_investors","mean_prosperScore","median_prosperScore","sum_prosperScore","mean_estimatedLoss","median_estimatedLoss","sum_estimatedLoss","mean_estimatedReturn","median_estimatedReturn","sum_estimatedReturn","mean_statedMonthlyIncome","median_statedMonthlyIncome","sum_statedMonthlyIncome","mean_creditScoreRangeLower","median_creditScoreRangeLower","sum_creditScoreRangeLower","mean_monthlyLoanPayment","median_monthlyLoanPayment","sum_monthlyLoanPayment","mean_borrowerAPR","median_borrowerAPR","sum_borrowerAPR","mean_borrowerRate","median_borrowerRate","sum_borrowerRate","mean_debtToIncomeRatio","median_debtToIncomeRatio","sum_debtToIncomeRatio","mean_term","median_term","sum_term","count"
"1",2005,3855.95652173913,3000,88687,NA,NA,NA,5.17391304347826,5,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,10947.463768087,9166.666667,251791.666666,NA,NA,NA,111.80652173913,88.12,2571.55,NA,NA,NA,0.0935413043478261,0.085,2.15145,0.0847504347826087,0.02743,1.94926,36,36,828,23
"2",2006,4844.80750040238,3001,30100789,NA,NA,NA,59.4081764043135,37,369103,NA,NA,NA,NA,NA,NA,NA,NA,NA,4730.47466333784,3750,29390439.083318,NA,NA,NA,171.225564139707,118.88,1063824.43,NA,NA,NA,0.190978866892001,0.19,1186.5517,NA,NA,NA,36,36,223668,6213
"3",2007,7066.79311239941,5000,81670928,NA,NA,NA,128.174699316432,93,1481315,NA,NA,NA,NA,NA,NA,NA,NA,NA,4677.17826136627,3833.333333,54054149.16661,646.673012027343,640,7473600,247.75094488189,173.02,2863257.67,0.18558143549364,0.17722,2144.76465,0.176225283378039,0.17,2036.6356,NA,NA,NA,36,36,416052,11557
"4",2008,5964.69839296813,4500,67180398,NA,NA,NA,135.238124833526,95,1523187,NA,NA,NA,NA,NA,NA,NA,NA,NA,4604.19285862443,3916.666667,51857024.166687,664.426884489035,660,7483440,207.829962709758,149.74,2340788.87,0.204300743141259,0.1793,2301.03927,0.186449684808666,0.1604,2099.9828,NA,NA,NA,35.9978691290065,36,405444,11263
"5",2009,4393.47824116047,3000,9692013,420.553490480508,0,927741,146.057570262919,94,322203,NA,NA,NA,NA,NA,NA,NA,NA,NA,5104.66730885766,4500,11260896.08334,704.904805077063,700,1555020,156.566754306437,111.605,345386.26,0.216639995466908,0.21223,477.90783,0.193509791477788,0.185,426.8826,NA,NA,NA,36,36,79416,2206
"6",2010,4841.8773960217,4000,26775582,500.969981916817,0,2770364,132.771428571429,103,734226,7.21175406871609,8,39881,0.093078842676311,0.098,514.726,0.104205877034358,0.1024,576.2585,5324.74183242694,4583.333333,29445822.333321,705.26582278481,700,3900120,171.687103074141,141.435,949429.68,0.240571886075949,0.25743,1330.36253,0.214219855334539,0.228,1184.6358,NA,NA,NA,36.1171790235081,36,199728,5530
"7",2011,6704.40333857717,5500,76711783,1280.05820660724,0,14646426,80.1513721377382,55,917092,6.01241041775913,6,68794,0.0973694284216046,0.108,1114.101,0.115212401678028,0.1232,1318.2603,5636.94395648173,4583.333333,64497912.750064,699.573501136165,700,8004520,249.869069218668,217.74,2859001.89,0.262220576822234,0.29371,3000.32784,0.229814639049117,0.2561,2629.5391,NA,NA,NA,37.138961719979,36,424944,11442
"8",2012,7876.51713029249,5000,154033169,1184.83150951115,0,23170565,82.6871037021886,54,1617029,6.15146246676212,6,120298,0.0912110963387196,0.089,1783.7242,0.109697790959296,0.115,2145.25,5725.88670570367,4666.666667,111975440.416741,701.755982818572,700,13723540,263.702315913275,188.35,5156962.49,0.252819165984864,0.25781,4944.13161,0.219695321129065,0.222,4296.3617,NA,NA,NA,42.7498465943956,36,836016,19556
"9",2013,10610.2401095643,10000,375740433,919.849320870867,0,32574624,53.6530370203033,1,1900015,5.49560895716262,5,194616,0.0726497331488436,0.0674,2572.745,0.0877756442549346,0.0868,3108.39889,6169.91361458758,5250,218495150.83339,698.540084149888,700,24737400,326.761827577443,297.83,11571616.6,0.212511612119843,0.20626,7525.67372,0.182198610679694,0.1765,6452.1994,NA,NA,NA,45.143083048598,36,1598652,35413
"10",2014,11915.4616172909,10000,127900565,613.591298677101,0,6586289,28.3973355692193,1,304817,5.99310601825974,6,64330,0.0618176169182038,0.0549,663.5503,0.0726749245388485,0.074,780.09264,6310.13440159288,5416.666667,67732982.666698,693.527110117384,680,7444320,362.607961617291,343.48,3892233.86,0.182563936090926,0.17685,1959.64129,0.153532541457052,0.1465,1648.0183,NA,NA,NA,43.5371716042482,36,467328,10734
